StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Gender,Gender-Other,AgeGroup,Ethnicity,Ethnicity-Other,Education,EmploymentStatus,PoliticalAffiliation,PoliticalAffiliation-Other,ExperienceChronicPain,OpiodsDeathsIncreasing,AssignmentGroup,MC_DesireToLearn,MC_MisInfo,MC_Addictive,RandomId,IPAddress,Postal Code,City,Region,Country,CountryCode,CurrentDate
11/6/2020 17:02,11/6/2020 17:09,100,468,TRUE,11/6/2020 17:09,R_3JC6Y6IzdtraWm7,40.79640198,-96.74810028,0.9,Female,,25-30,Asian,,Some college,Employed,Independent,,No,Somewhat agree,Treatment,Somewhat agree,Strongly agree,Strongly disagree,2540,76.85.141.171,68522,Lincoln,NE,United States,US,2020-11-06T17:09:51-07:00
11/6/2020 17:01,11/6/2020 17:17,100,1009,TRUE,11/6/2020 17:17,R_3PaRtvVetGV6NJs,38.73100281,-90.10970306,0.9,Female,,25-30,White,,Bachelor's degree or higher,Employed,Republican,,No,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,2007,97.88.111.127,62040,Granite City,IL,United States,US,2020-11-06T17:17:57-07:00
11/6/2020 17:10,11/6/2020 17:19,100,521,TRUE,11/6/2020 17:19,R_2cw5Pcu7ZtWHdUZ,28.07240295,-82.56030273,0.9,Male,,25-30,White,,Bachelor's degree or higher,Not Employed,Democrat,,No,Somewhat agree,Placebo,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,1865,96.58.8.22,33625,Tampa,FL,United States,US,2020-11-06T17:19:36-07:00
11/6/2020 17:22,11/6/2020 17:36,100,810,TRUE,11/6/2020 17:36,R_1HnxeIo4KS7IymU,40.63569641,-74.25270081,0.9,Male,,25-30,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Strongly agree,Placebo,Strongly agree,Strongly agree,Strongly agree,3082,73.112.88.103,7065,Rahway,NJ,United States,US,2020-11-06T17:36:06-07:00
11/6/2020 17:28,11/6/2020 17:47,100,1143,TRUE,11/6/2020 17:47,R_W98htda84U0SBvb,40.53770447,-105.0546036,0.9,Female,,25-30,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Strongly agree,Treatment,Strongly agree,Strongly agree,Somewhat agree,3745,73.229.139.186,80525,Fort Collins,CO,United States,US,2020-11-06T17:47:52-07:00
11/6/2020 17:42,11/6/2020 17:56,100,816,TRUE,11/6/2020 17:56,R_2e8sVp6V4Wc2fd6,34.05439758,-118.2440033,0.9,Male,,25-30,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Somewhat agree,Placebo,Somewhat agree,Neither agree nor disagree,Strongly agree,3742,45.157.120.197,,,CA,United States,US,2020-11-06T17:56:16-07:00
11/6/2020 18:08,11/6/2020 18:20,100,727,TRUE,11/6/2020 18:20,R_33qmPPiv9bQsC68,39.08279419,-77.16739655,0.9,Male,,25-30,Asian,,Bachelor's degree or higher,Employed,Democrat,,No,Strongly agree,Placebo,Strongly disagree,Somewhat agree,Strongly agree,7935,173.66.109.48,20850,Rockville,MD,United States,US,2020-11-06T18:20:40-07:00
11/6/2020 18:20,11/6/2020 18:37,100,997,TRUE,11/6/2020 18:37,R_31EHVOjnol3hNI1,37.51469421,-77.50340271,0.9,Male,,25-30,Hispanic/Latino,,Some college,Employed,Democrat,,Yes,Strongly agree,Treatment,Somewhat agree,Somewhat disagree,Strongly disagree,6694,108.4.94.198,23225,Richmond,VA,United States,US,2020-11-06T18:37:37-07:00
11/6/2020 18:58,11/6/2020 19:07,100,515,TRUE,11/6/2020 19:07,R_1ewnROPbgFgpoj8,45.29289246,-122.7745972,0.9,Male,,25-30,White,,High school,Employed,Democrat,,Yes,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Somewhat disagree,2048,76.27.219.161,97070,Wilsonville,OR,United States,US,2020-11-06T19:07:09-07:00
11/6/2020 19:38,11/6/2020 19:47,100,590,TRUE,11/6/2020 19:47,R_2SrddeHtsWkPUMW,34.43980408,-119.7314987,0.9,Male,,25-30,White,,Bachelor's degree or higher,Employed,Independent,,No,Somewhat disagree,Treatment,Somewhat agree,Somewhat agree,Neither agree nor disagree,3572,169.231.126.45,93117,Goleta,CA,United States,US,2020-11-06T19:47:55-07:00
11/6/2020 15:59,11/6/2020 16:09,100,574,TRUE,11/6/2020 16:09,R_2ZTvG4Koh3vLNuG,42.95849609,-85.478302,0.9,Female,,45-55,White,,Some college,Employed,Democrat,,Yes,Strongly agree,Placebo,Strongly agree,Neither agree nor disagree,Somewhat agree,4559,167.23.240.75,49546,Grand Rapids,MI,United States,US,2020-11-06T16:09:05-07:00
11/6/2020 16:05,11/6/2020 16:10,100,287,TRUE,11/6/2020 16:10,R_1Ed54ZwqYldzrNf,11.00549316,76.96609497,0.9,Female,,45-55,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Somewhat agree,Treatment,Somewhat agree,Somewhat agree,Somewhat agree,5931,61.14.228.66,643001,Ooty,TN,India,IN,2020-11-06T16:10:27-07:00
11/6/2020 15:59,11/6/2020 16:10,100,648,TRUE,11/6/2020 16:10,R_2wjkAJy72AiLDoD,34.14830017,-118.0016022,0.9,Female,,45-55,White,,High school,Not Employed,Republican,,Yes,Somewhat agree,Placebo,Somewhat agree,Somewhat agree,Somewhat disagree,4063,104.35.170.65,91016,Monrovia,CA,United States,US,2020-11-06T16:10:45-07:00
11/6/2020 16:00,11/6/2020 16:11,100,680,TRUE,11/6/2020 16:11,R_2q1qWbTWh1gQiEq,38.62480164,-83.80699921,0.9,Female,,45-55,White,,Some college,Employed,Republican,,Yes,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Somewhat disagree,1075,71.28.199.68,41055,Mays Lick,KY,United States,US,2020-11-06T16:11:27-07:00
11/6/2020 16:01,11/6/2020 16:11,100,613,TRUE,11/6/2020 16:11,R_3dYQ4jCEc8jR0Xr,39.07150269,-76.69629669,0.9,Female,,45-55,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Strongly agree,Treatment,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,7885,73.128.181.242,21144,Severn,MD,United States,US,2020-11-06T16:11:38-07:00
11/6/2020 16:01,11/6/2020 16:11,100,597,TRUE,11/6/2020 16:11,R_3HnRnzN387NahJV,34.77290344,-112.4736023,0.9,Female,,45-55,White,,Bachelor's degree or higher,Employed,Republican,,No,Strongly agree,Placebo,Somewhat disagree,Somewhat agree,Somewhat disagree,5202,184.155.151.34,86323,Chino Valley,AZ,United States,US,2020-11-06T16:11:47-07:00
11/6/2020 16:01,11/6/2020 16:11,100,645,TRUE,11/6/2020 16:11,R_3NWeSpKaWihTeEP,47.67329407,-122.3426056,0.9,Female,,45-55,White,,Some college,Employed,Democrat,,No,Strongly agree,Treatment,Strongly agree,Strongly disagree,Strongly disagree,3162,73.225.165.65,98103,Seattle,WA,United States,US,2020-11-06T16:11:55-07:00
11/6/2020 16:04,11/6/2020 16:13,100,527,TRUE,11/6/2020 16:13,R_1JVDPJOBhruXvz2,40.17880249,-77.00469971,0.9,Female,,45-55,Other,multi,Bachelor's degree or higher,Employed,Something else,socialist,Yes,Somewhat agree,Placebo,Somewhat disagree,Strongly disagree,Strongly disagree,1636,71.113.133.164,17055,Mechanicsburg,PA,United States,US,2020-11-06T16:13:34-07:00
11/6/2020 16:04,11/6/2020 16:13,100,565,TRUE,11/6/2020 16:13,R_1guofqDxBLUg9wg,42.61300659,-83.0345993,0.9,Female,,45-55,White,,Some college,Employed,Independent,,Yes,Strongly agree,Treatment,Strongly agree,Neither agree nor disagree,Somewhat disagree,3650,99.100.238.66,48314,Sterling Heights,MI,United States,US,2020-11-06T16:13:36-07:00
11/6/2020 16:05,11/6/2020 16:15,100,621,TRUE,11/6/2020 16:15,R_2AEVLZJQvaQpy6G,40.93499756,-74.11759949,0.9,Male,,45-55,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Somewhat agree,Placebo,Somewhat agree,Somewhat agree,Strongly agree,4345,173.70.2.215,7410,Fair Lawn,NJ,United States,US,2020-11-06T16:15:30-07:00
11/6/2020 16:07,11/6/2020 16:16,100,537,TRUE,11/6/2020 16:16,R_2xzbMi5eYrhnanX,37.75579834,-121.9526978,0.9,Female,,45-55,White,,Bachelor's degree or higher,Not Employed,Democrat,,No,Strongly agree,Placebo,Somewhat agree,Somewhat agree,Somewhat disagree,7892,67.164.74.58,94583,San Ramon,CA,United States,US,2020-11-06T16:16:53-07:00
11/6/2020 16:09,11/6/2020 16:18,100,526,TRUE,11/6/2020 16:18,R_301wlqXowdi9jvw,29.03819275,-95.44159698,0.9,Male,,45-55,White,,Bachelor's degree or higher,Employed,Republican,,Yes,Strongly agree,Treatment,Strongly agree,Somewhat agree,Somewhat disagree,3490,73.115.30.234,77566,Lake Jackson,TX,United States,US,2020-11-06T16:18:02-07:00
11/6/2020 16:14,11/6/2020 16:23,100,544,TRUE,11/6/2020 16:23,R_2VDRq04ushcM3le,34.7828064,-84.93319702,0.9,Female,,45-55,White,,High school,Employed,Democrat,,Yes,Strongly agree,Treatment,Strongly agree,Strongly agree,Strongly disagree,1290,68.118.97.173,30721,Dalton,GA,United States,US,2020-11-06T16:23:49-07:00
11/6/2020 16:20,11/6/2020 16:32,100,713,TRUE,11/6/2020 16:32,R_1DSXaaQYIlvLO3n,34.05439758,-118.2440033,0.9,Male,,45-55,White,,Bachelor's degree or higher,Employed,Independent,,Yes,Somewhat agree,Placebo,Somewhat agree,Neither agree nor disagree,Somewhat agree,3308,196.17.67.52,90009,Los Angeles,CA,United States,US,2020-11-06T16:32:19-07:00
11/6/2020 16:23,11/6/2020 16:35,100,670,TRUE,11/6/2020 16:35,R_293N67CfDPWE1QF,30.2881012,-97.76399994,0.9,Female,,45-55,White,,Bachelor's degree or higher,Employed,Republican,,No,Somewhat agree,Placebo,Somewhat agree,Neither agree nor disagree,Somewhat disagree,8207,72.182.117.167,78703,Austin,TX,United States,US,2020-11-06T16:35:09-07:00
11/6/2020 16:32,11/6/2020 16:42,100,612,TRUE,11/6/2020 16:42,R_yI0uMW6iUbyxpyp,39.90400696,-75.5089035,0.9,Female,,45-55,White,,Less than high school,Employed,Democrat,,No,Neither agree nor disagree,Treatment,Somewhat agree,Somewhat agree,Neither agree nor disagree,4812,71.175.44.119,19342,Glen Mills,PA,United States,US,2020-11-06T16:42:59-07:00
11/6/2020 16:26,11/6/2020 16:44,100,1053,TRUE,11/6/2020 16:44,R_3qTE9laFUvIL361,41.92089844,-87.70429993,0.9,Other,non binary,45-55,White,,Bachelor's degree or higher,Not Employed,Democrat,,Yes,Neither agree nor disagree,Treatment,Strongly agree,Neither agree nor disagree,Somewhat disagree,9841,99.74.14.137,60647,Chicago,IL,United States,US,2020-11-06T16:44:18-07:00
11/6/2020 17:04,11/6/2020 17:13,100,533,TRUE,11/6/2020 17:13,R_2witKzNLFUjaY2z,34.33039856,-82.33670044,0.9,Female,,45-55,White,,Bachelor's degree or higher,Employed,Democrat,,No,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Strongly disagree,6679,206.74.105.224,29638,Donalds,SC,United States,US,2020-11-06T17:13:37-07:00
11/6/2020 17:02,11/6/2020 17:24,100,1311,TRUE,11/6/2020 17:24,R_DwWPj4KpnFVkS6l,34.05439758,-118.2440033,0.9,Female,,45-55,White,,Bachelor's degree or higher,Employed,Republican,,Yes,Strongly agree,Placebo,Strongly agree,Strongly agree,Somewhat agree,7763,196.17.64.212,90009,Los Angeles,CA,United States,US,2020-11-06T17:24:02-07:00
