StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Gender,Gender-Other,AgeGroup,Ethnicity,Ethnicity-Other,Education,Employed,PoliticalBelief,ChronicPain,OpiodsDeathsIncreasing,AssignmentGroup,MC_DesireToLearn,MC_PortrayedHarm,MC_MisInfo,MC_Addictive,RandomId,IPAddress,Postal Code,City,Region,Country,CountryCode,CurrentDate,MC_Legal
11/28/2020 11:11,11/28/2020 11:21,100,618,TRUE,11/28/2020 11:21,R_PCjHh1GIQ2koU9z,36.12620544,-95.94080353,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Placebo,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,63170,d2-be-e0-9f-9-40-16-7b-ba-e5-2c-33-ac-4d-ba-b2,74114,Tulsa,OK,United States,US,2020-11-28T11:21:39-07:00,Legal
11/28/2020 11:05,11/28/2020 11:21,100,1008,TRUE,11/28/2020 11:21,R_A1yWMVaKYZGPHGN,34.05439758,-118.2440033,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Treatment,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,88440,e8-e-b4-f9-35-35-e2-78-41-f3-fb-d5-13-5f-21-30,90009,Los Angeles,CA,United States,US,2020-11-28T11:21:55-07:00,Legal
11/28/2020 11:13,11/28/2020 11:24,100,653,TRUE,11/28/2020 11:24,R_2BszZGSXIscNI3S,34.28489685,-85.22530365,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,69209,a7-a4-8a-b2-ee-d2-e9-f0-ef-3b-76-b0-52-c2-93-d7,30165,Rome,GA,United States,US,2020-11-28T11:24:09-07:00,Legal
11/28/2020 11:00,11/28/2020 11:25,100,1501,TRUE,11/28/2020 11:25,R_5nI8ZhSvY4bLT5D,35.04899597,-89.95189667,0.7,Male,,25-35,White/Caucasian,,High school,Yes,Ind./Other,0,Somewhat agree,Placebo,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,16422,b8-26-a7-b1-56-67-2d-29-86-ad-0-f1-bf-ba-d3-6c,38141,Memphis,TN,United States,US,2020-11-28T11:25:25-07:00,Illegal
11/28/2020 11:12,11/28/2020 11:26,100,838,TRUE,11/28/2020 11:26,R_2rT0dJjm1Tm93kF,37.75100708,-97.8219986,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Neither agree nor disagree,Placebo,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,93800,3e-2-c-cf-5c-cd-8-16-1f-80-aa-28-d2-b-a4-32,,,KS,United States,US,2020-11-28T11:26:29-07:00,Illegal
11/28/2020 11:23,11/28/2020 11:29,100,382,TRUE,11/28/2020 11:29,R_1otojzcAT8Lotw7,39.78010559,-86.05570221,0.9,Male,,25-35,White/Caucasian,,Some college,Yes,Conservative,1,Somewhat agree,Treatment,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,31702,cb-3b-21-11-99-93-5d-b9-60-93-54-2d-51-d4-90-17,46219,Indianapolis,IN,United States,US,2020-11-28T11:29:58-07:00,Legal
11/28/2020 11:26,11/28/2020 11:37,100,655,TRUE,11/28/2020 11:37,R_Qh3ZFDOuH2M6A6t,34.05439758,-118.2440033,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,99042,e-e3-7d-29-18-71-d9-86-6f-67-4d-4-34-9f-e5-f9,90009,Los Angeles,CA,United States,US,2020-11-28T11:37:48-07:00,Legal
11/28/2020 11:28,11/28/2020 11:37,100,564,TRUE,11/28/2020 11:37,R_2qfT8V1727T2AFk,40.706604,-74.20269775,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,98996,8a-ba-be-a9-eb-b8-1a-66-a2-c8-9b-df-e-cf-41-75,,,NJ,United States,US,2020-11-28T11:37:49-07:00,Legal
11/28/2020 11:34,11/28/2020 11:44,100,600,TRUE,11/28/2020 11:44,R_Cf3b0hyvM6JELux,30.17070007,-95.50189972,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Strongly agree,Placebo,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,56204,fe-b3-48-56-d7-f4-3e-16-df-bf-70-62-e6-90-3c-f9,77382,Spring,TX,United States,US,2020-11-28T11:44:04-07:00,Legal
11/28/2020 11:45,11/28/2020 11:46,100,54,TRUE,11/28/2020 11:46,R_RrX64Mgir5Vs3Dz,30.54359436,-89.68959808,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Placebo,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,93360,13-84-19-2c-30-30-7c-fe-10-1d-63-37-b9-55-1d-cc,39466,Picayune,MS,United States,US,2020-11-28T11:46:21-07:00,Legal
11/28/2020 11:50,11/28/2020 11:54,100,222,TRUE,11/28/2020 11:54,R_pugyP51UV2yJRol,37.2696991,-81.22119904,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,38346,8-17-e9-f6-b7-2-39-1b-e-6f-e1-f6-66-59-51-71,24701,Bluefield,WV,United States,US,2020-11-28T11:54:11-07:00,Legal
11/28/2020 11:53,11/28/2020 11:54,100,77,TRUE,11/28/2020 11:54,R_DSv0t38U0NrcFDH,28.30220032,-82.62640381,0.7,Male,,25-35,White/Caucasian,,High school,Yes,Conservative,1,Strongly agree,Placebo,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,27234,61-c5-5-82-e9-69-96-86-e2-3f-1e-38-73-a4-d-90,34654,New Port Richey,FL,United States,US,2020-11-28T11:54:43-07:00,Legal
11/28/2020 11:49,11/28/2020 11:58,100,561,TRUE,11/28/2020 11:58,R_1gN12XkmCRKb7Pj,29.80969238,-82.46749878,0.7,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Strongly agree,Placebo,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,70372,97-f5-74-c3-ae-8b-ed-66-6c-a3-14-7a-b2-bf-bc-fe,32615,Alachua,FL,United States,US,2020-11-28T11:58:34-07:00,Legal
11/28/2020 12:00,11/28/2020 12:02,100,153,TRUE,11/28/2020 12:02,R_1lsheWGWjxQ2raE,37.75100708,-97.8219986,0.7,Male,,25-35,Black or African Am.,,>=Bachelor's degree,Yes,Liberal,1,Strongly agree,Treatment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,96824,db-7-6d-9e-1c-c-3d-f-49-a0-67-ae-3d-59-37-89,,,KS,United States,US,2020-11-28T12:02:58-07:00,Illegal
11/28/2020 11:18,11/28/2020 12:09,100,3081,TRUE,11/28/2020 12:09,R_1K2194vPAg008y4,40.79379272,-74.4878006,0.9,Male,,25-35,White/Caucasian,,Some college,No,Ind./Other,1,Strongly agree,Treatment,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,90258,f2-57-7-a5-69-b0-47-ad-2-a0-78-bf-2c-38-3b-b6,7960,Morristown,NJ,United States,US,2020-11-28T12:09:55-07:00,Legal
11/28/2020 12:00,11/28/2020 12:09,100,549,TRUE,11/28/2020 12:09,R_2WBGdIZMNUXxu50,37.51469421,-77.50340271,0.9,Male,,25-35,Hispanic/Latino,,Some college,No,Liberal,1,Somewhat agree,Treatment,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,58441,d1-55-8a-f4-e9-44-56-e4-72-3b-74-b7-d7-56-77-1f,23225,Richmond,VA,United States,US,2020-11-28T12:09:57-07:00,Legal
11/28/2020 12:00,11/28/2020 12:10,100,628,TRUE,11/28/2020 12:10,R_1fjxDIZzYglkyxy,40.87770081,-73.90799713,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,59031,c7-57-f9-4e-36-16-d6-c9-79-48-92-d9-41-50-8-93,7110,Nutley,NJ,United States,US,2020-11-28T12:10:54-07:00,Legal
11/28/2020 12:02,11/28/2020 12:12,100,571,TRUE,11/28/2020 12:12,R_2YhN2Rz9esoHMo3,61.20489502,-149.8096008,0.9,Male,,25-35,Hispanic/Latino,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Treatment,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,58151,a6-6d-6c-5d-3b-3c-f-83-e-3-ec-ff-43-ec-2f-8c,99508,Anchorage,AK,United States,US,2020-11-28T12:12:10-07:00,Legal
11/28/2020 12:03,11/28/2020 12:18,100,880,TRUE,11/28/2020 12:18,R_1f0DlLBxVVGm23a,35.1013031,-106.5246964,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Somewhat agree,Placebo,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,32286,d8-71-1e-ab-22-55-88-91-a-8d-c4-48-df-a9-2-2,87112,Albuquerque,NM,United States,US,2020-11-28T12:18:07-07:00,Legal
11/28/2020 12:00,11/28/2020 12:19,100,1108,TRUE,11/28/2020 12:19,R_3Rz9YfwB3JDZif8,37.75100708,-97.8219986,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Strongly agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,98246,c4-5-5c-a6-ad-a-9d-bc-35-dc-69-c2-9b-a2-99-2b,501,Holtsville,NY,United States,US,2020-11-28T12:19:04-07:00,Legal
11/28/2020 12:02,11/28/2020 12:19,100,1041,TRUE,11/28/2020 12:19,R_ulfmxnowcYNnuJX,29.51829529,-95.09770203,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Strongly agree,Treatment,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,70335,ae-14-54-fc-2b-49-ee-a1-c9-e0-62-9-0-66-cc-53,77573,League City,TX,United States,US,2020-11-28T12:19:41-07:00,Legal
11/28/2020 12:10,11/28/2020 12:22,100,767,TRUE,11/28/2020 12:22,R_2rq4TyC351teUew,48.70480347,-95.75039673,0.9,Female,,25-35,White/Caucasian,,Some college,Yes,Ind./Other,1,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,33436,88-bd-26-61-c6-eb-d8-95-dc-68-e5-3d-dc-2d-af-e2,56751,Roseau,MN,United States,US,2020-11-28T12:22:48-07:00,Legal
11/28/2020 12:17,11/28/2020 12:30,100,804,TRUE,11/28/2020 12:30,R_1MWXLzoEa5L3CWx,34.13699341,-118.2375946,0.9,Female,,25-35,Asian,,>=Bachelor's degree,Yes,Liberal,0,Somewhat agree,Placebo,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,96050,eb-f2-a-bc-c8-e1-87-95-e5-f8-b4-a7-85-18-5f-40,91205,Glendale,CA,United States,US,2020-11-28T12:30:58-07:00,Legal
11/28/2020 12:22,11/28/2020 12:33,100,655,TRUE,11/28/2020 12:33,R_8BvgLxY3wwDb3nX,41.78919983,-88.26200104,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Treatment,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,71845,cc-4a-bd-bd-13-f7-1f-c2-7e-72-94-8e-8c-70-d0-1f,60502,Aurora,IL,United States,US,2020-11-28T12:33:02-07:00,Legal
11/28/2020 12:27,11/28/2020 12:36,100,523,TRUE,11/28/2020 12:36,R_3p3IUZTymqu4LoH,42.92849731,-83.6332016,0.9,Female,,25-35,White/Caucasian,,Some college,Yes,Liberal,1,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,73169,e6-4d-95-e1-6c-11-1c-25-73-12-59-b6-5-a9-d7-f7,48439,Grand Blanc,MI,United States,US,2020-11-28T12:36:14-07:00,Legal
11/28/2020 12:31,11/28/2020 12:47,100,953,TRUE,11/28/2020 12:47,R_1oFmHeAJixP4CMI,30.35110474,-81.5059967,0.3,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Strongly agree,Placebo,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,47848,c2-d9-36-be-6-be-92-c1-1a-38-85-3a-84-15-59-e9,32225,Jacksonville,FL,United States,US,2020-11-28T12:47:33-07:00,Legal
11/28/2020 12:41,11/28/2020 12:51,100,616,TRUE,11/28/2020 12:51,R_3KIUmV2PJrHhGr5,42.18159485,-76.82949829,0.7,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,0,Somewhat agree,Placebo,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,58571,3d-17-6d-7c-49-8b-42-44-f7-c9-16-bf-a0-b5-6f-66,14845,Horseheads,NY,United States,US,2020-11-28T12:51:28-07:00,Legal
11/28/2020 12:09,11/28/2020 13:03,100,3216,TRUE,11/28/2020 13:03,R_2zdRwdhNF4PCXbH,37.75100708,-97.8219986,0.7,Male,,25-35,Black or African Am.,,>=Bachelor's degree,Yes,Liberal,1,Neither agree nor disagree,Treatment,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,74847,cb-8a-f5-b9-1c-a2-7b-ec-f6-ab-9f-7c-0-6a-99-bd,,,,Vietnam,Vietnam,2020-11-28T13:03:05-07:00,
11/28/2020 13:00,11/28/2020 13:11,100,645,TRUE,11/28/2020 13:11,R_2E4A3QGl4En2ifm,29.55929565,-97.96309662,0.9,Male,,25-35,Black or African Am.,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,74826,eb-9a-e0-b0-e8-10-95-cf-fd-e5-85-87-b8-ab-4f-61,78155,Seguin,TX,United States,US,2020-11-28T13:11:35-07:00,Legal
11/28/2020 13:49,11/28/2020 14:06,100,1023,TRUE,11/28/2020 14:06,R_1mRCIBzApIB9dX6,34.23190308,-84.16269684,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Strongly agree,Placebo,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,47478,d2-cd-6a-5a-85-53-ed-e3-c4-7e-65-e6-90-11-a1-5c,30040,Cumming,GA,United States,US,2020-11-28T14:06:03-07:00,Legal
11/28/2020 15:03,11/28/2020 15:17,100,795,TRUE,11/28/2020 15:17,R_22J2nnJPT6N0H5I,34.02510071,-118.1556015,0.9,Male,,25-35,Hispanic/Latino,,>=Bachelor's degree,Yes,Liberal,1,Strongly agree,Treatment,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,89663,e7-3c-de-77-6-6a-e9-c7-a5-6e-ad-92-82-b-d9-7e,90022,Los Angeles,CA,United States,US,2020-11-28T15:17:13-07:00,Legal
11/28/2020 11:02,11/28/2020 11:08,100,357,TRUE,11/28/2020 11:08,R_tQzTNDAPG7MVdAJ,38.70739746,-117.0652008,0.9,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Placebo,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,77635,b1-d2-4e-49-1b-4c-54-c8-e3-a1-e6-81-dc-4a-2f-41,89045,Round Mountain,NV,United States,US,2020-11-28T11:08:39-07:00,Legal
11/28/2020 11:01,11/28/2020 11:11,100,586,TRUE,11/28/2020 11:11,R_22YcpGvH4nspigF,35.17590332,-106.6015015,0.9,Male,,35-45,White/Caucasian,,Some college,Yes,Liberal,1,Strongly agree,Treatment,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,45022,1d-9f-9a-72-dd-45-19-1d-0-6d-1e-5a-ff-cf-6f-96,87113,Albuquerque,NM,United States,US,2020-11-28T11:11:17-07:00,Legal
11/28/2020 11:02,11/28/2020 11:11,100,558,TRUE,11/28/2020 11:11,R_a5AvNYTeCCQBXYB,38.06629944,-122.1654968,0.9,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Strongly agree,Placebo,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,61290,ab-85-ef-2-64-6b-e4-e5-3c-9d-94-b0-6e-d4-fe-ac,94510,Benicia,CA,United States,US,2020-11-28T11:11:48-07:00,Legal
11/28/2020 11:02,11/28/2020 11:12,100,588,TRUE,11/28/2020 11:12,R_2dNjBNLa9U3RcYm,34.0296936,-84.14689636,0.9,Male,,35-45,Black or African Am.,,>=Bachelor's degree,Yes,Liberal,0,Neither agree nor disagree,Treatment,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,36147,71-66-fe-45-1a-15-b9-d5-8a-e-ba-a8-c7-6a-53-49,30097,Duluth,GA,United States,US,2020-11-28T11:12:04-07:00,Legal
11/28/2020 11:01,11/28/2020 11:12,100,620,TRUE,11/28/2020 11:12,R_11daF9sPWlJVKJ4,43.63389587,-116.2942047,0.9,Male,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Neither agree nor disagree,Placebo,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,91182,c5-f2-38-10-5e-dc-1e-27-ef-6f-43-17-43-4b-d8-27,83646,Meridian,ID,United States,US,2020-11-28T11:12:04-07:00,Illegal
11/28/2020 11:05,11/28/2020 11:12,100,398,TRUE,11/28/2020 11:12,R_3JxX5CFGBcVupgj,29.82839966,-95.46959686,0.5,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,72043,5d-49-c9-74-f-1a-7a-70-26-7b-62-97-a4-b9-67-14,77092,Houston,TX,United States,US,2020-11-28T11:12:25-07:00,Legal
11/28/2020 11:03,11/28/2020 11:12,100,547,TRUE,11/28/2020 11:12,R_uwt0jDQLcsWr0zL,44.18069458,-88.47599792,0.9,Male,,35-45,Asian,,>=Bachelor's degree,Yes,Ind./Other,0,Strongly agree,Treatment,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,80573,f3-1a-f4-ba-7d-d4-46-9c-e7-6e-b2-75-fa-d7-cb-70,54956,Neenah,WI,United States,US,2020-11-28T11:12:54-07:00,Legal
11/28/2020 11:03,11/28/2020 11:13,100,557,TRUE,11/28/2020 11:13,R_1lgDriloHvbRwlo,46.85220337,-114.0214005,0.9,Male,,35-45,White/Caucasian,,High school,Yes,Liberal,1,Strongly agree,Placebo,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,79459,9b-b0-b-f8-e8-f-be-94-2f-68-62-47-7b-43-7d-71,59801,Missoula,MT,United States,US,2020-11-28T11:13:00-07:00,Legal
11/28/2020 11:06,11/28/2020 11:13,100,421,TRUE,11/28/2020 11:13,R_3r1yp8PjsXpHOO7,39.58920288,-105.1359024,0.9,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,55800,dd-5c-7e-68-d7-6-a6-dc-21-22-cd-40-d1-1d-8c-3e,80127,Littleton,CO,United States,US,2020-11-28T11:13:19-07:00,Legal
11/28/2020 11:02,11/28/2020 11:13,100,667,TRUE,11/28/2020 11:13,R_2Tq0WfbFlUxLSsi,34.03889465,-84.38259888,0.9,Male,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Placebo,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,29929,44-66-97-4d-db-fd-f1-98-87-d7-5b-0-ae-37-61-c5,30075,Roswell,GA,United States,US,2020-11-28T11:13:20-07:00,Legal
11/28/2020 11:01,11/28/2020 11:13,100,725,TRUE,11/28/2020 11:13,R_2waDnklVlQgBFMF,33.95489502,-117.6414032,0.9,Male,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Treatment,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,77291,a7-af-2c-fc-83-3f-ed-95-75-cd-d5-6b-a5-3d-7b-d6,91708,Chino,CA,United States,US,2020-11-28T11:13:24-07:00,Legal
11/28/2020 11:02,11/28/2020 11:14,100,670,TRUE,11/28/2020 11:14,R_pfmnAN4LJIMWsHD,38.01519775,-84.48940277,0.7,Female,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,23855,a2-51-c8-11-ce-6b-57-d5-90-e3-c3-b-47-27-d4-5d,40502,Lexington,KY,United States,US,2020-11-28T11:14:09-07:00,Legal
11/28/2020 11:02,11/28/2020 11:14,100,744,TRUE,11/28/2020 11:14,R_1g6FiwQF5fxoGjA,32.89460754,-111.7492981,0.9,Male,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Placebo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,45910,61-1b-8b-f3-82-c4-a8-14-86-6d-a6-a6-5d-a3-5f-3b,85122,Casa Grande,AZ,United States,US,2020-11-28T11:14:35-07:00,Legal
11/28/2020 11:01,11/28/2020 11:15,100,829,TRUE,11/28/2020 11:15,R_2QEOOMmT39WtdkS,32.14430237,-85.71489716,0.9,Female,,35-45,Black or African Am.,,High school,No,Ind./Other,0,Strongly agree,Placebo,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,40187,77-e8-66-30-6e-c1-8d-f1-95-f8-4b-da-7f-37-33-27,36089,Union Springs,AL,United States,US,2020-11-28T11:15:23-07:00,Legal
11/28/2020 11:01,11/28/2020 11:15,100,851,TRUE,11/28/2020 11:15,R_2anxNVVfWLS9caJ,39.64379883,-84.17430115,0.9,Male,,35-45,White/Caucasian,,>=Bachelor's degree,Yes,Ind./Other,0,Neither agree nor disagree,Placebo,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54020,2f-4a-57-dc-34-b7-ef-e0-67-8b-38-d8-bd-c9-f0-c4,45459,Dayton,OH,United States,US,2020-11-28T11:15:39-07:00,Legal
